Drift Manager 是什么？	Drift 自动生成的表操作接口，通过数据库类的 managers 属性访问
如何获取表中所有数据？	使用 managers.todoItems.get()
如何实时监控表数据变化？	使用 managers.todoItems.watch() 返回 Stream
如何按 ID=1 查询单条数据？	managers.todoItems.filter((f) => f.id(1)).getSingle()
如何组合多个过滤条件（AND/OR）？	用 & 表示 AND（如 f.title("A") & f.content("B")），用 | 表示 OR
如何过滤标题以 "Drift" 开头的数据？	f.title.startsWith('Drift')
withReferences() 有什么性能风险？	默认导致 N+1 查询问题（每行关联数据单独查询）
如何优化关联查询性能？	在 withReferences() 中使用 prefetch 参数预加载关联数据
如何跨表过滤（如按分类描述过滤）？	f.category.description("School")
解决多对多关联命名冲突的方法？	使用 @ReferenceName() 注解自定义引用名称
如何按创建时间降序排序？	orderBy((o) => o.createdAt.desc())
如何让 NULL 值排在排序结果最前面？	o.title.asc(nulls: NullsOrder.first)
如何统计行数？	count() 方法（如 managers.todoItems.count()）
如何批量更新满足条件的数据？	filter(...).update((o) => o(content: Value('新内容')))
如何插入单条数据？	create((o) => o(title: '标题', content: '内容'))
如何批量插入数据？	bulkCreate((o) => [o(...), o(...)])
如何删除 ID=5 的数据？	filter((f) => f.id(5)).delete()
计算字段是什么？如何创建？	动态生成的 SQL 表达式字段，用 computedField((o) => o.title.length) 创建
如何使用计算字段过滤？	先用 withFields() 注册字段，再用 field.filter(10) 过滤
计算字段能否引用其他表？举例	可以，如 o.category.user.name
如何用计算字段实现聚合统计？	在表达式中用 count()/sum() 等（如 o.todoItemsRefs((o) => o.id).count()）