Drift为每个表生成哪两种核心类？	行类（完整行）和伴侣类（部分行操作）
伴侣类中Value.absent()表示什么？	该字段未被设置（用于插入/更新，部分更新​（Partial Update）和依赖数据库默认值/自增机制的插入场景）
如何在插入操作中使用伴侣类？	UsersCompanion.insert(username: 'name')
行类默认如何命名？	表名复数转单数（Users→User）或加Data后缀
如何自定义行类的名称？	使用@DataClassName('新名称')注解
如何将记录类型用作行类？	typedef定义记录，@UseRowClass(记录类型)（不需要预先声明类（class））
自定义行类必须满足什么条件？	实现Insertable<T>接口
如何在SQL文件中使用自定义行类？	表定义后加WITH 类名
如何指定自定义构造函数加载行？	@UseRowClass(类名, constructor:'构造器')
如何在更新中使用SQL表达式？	companion.custom(column: expression.lower())
JSON序列化如何覆盖单个字段名？	使用@JsonKey('新名')注解
如何全局使用SQL列名作为JSON键？	build.yaml设置use_sql_column_name_as_json_key
如何处理异步行加载？	定义static Future<类名> load()方法
嵌套查询结果如何映射？	SELECT table.**生成嵌套对象
LIST查询结果如何表示？	使用LIST()宏生成List<T>字段
单表查询结果使用什么类？	自动使用表对应的行类
单列查询结果如何处理？	直接返回列值而非完整对象
伴侣类在更新中如何表示NULL？	Value(null)显式设置NULL
行类包含哪些自动生成的方法？	toJson/fromJson, copyWith, ==/hashCode
如何忽略非必需字段？	自定义行类可包含额外非必需字段
Drift文件（sql语句文件）中的视图如何使用行类？	CREATE VIEW view_name WITH 类名 AS ...