Drift中如何定义一个表？	创建继承Table的类，用late final字段定义列
如何设置列允许空值？	使用.nullable()修饰符
如何添加数据库端的列默认值？	使用.withDefault(表达式)，例如currentDateAndTime
Dart端的列默认值如何设置？	使用.clientDefault(函数)，返回默认值
如何创建自增主键？	integer().autoIncrement()()
如何设置复合主键？	覆盖primaryKey返回列集合，如{column1, column2}
如何添加外键约束？	使用.references(目标表类, Symbol('目标列'))
如何确保列值唯一？	使用.unique()修饰符
如何添加自定义列约束？	使用.customConstraint('SQL片段')，注意需手动包含NOT NULL
如何创建生成列（如计算面积）？	使用.generatedAs(表达式)，可选stored: true存储
索引的作用是什么？如何创建？	加速查询；用@TableIndex注解或SQL创建
什么是严格表？如何启用？	SQLite 3.37+的特性，列类型严格检查；覆盖isStrict返回true
大整数列为什么推荐用int64()？	解决JavaScript环境精度问题（对应BigInt）
Drift默认如何存储DateTime？推荐方案？	UNIX时间戳（整数）；推荐ISO字符串（设置store_date_time_values_as_text）
如何自定义表名？	覆盖tableName属性返回字符串